start_time,end_time,timespan,kind_of_data,range_of_data,attribute,all_data,training_data,test_data,accuracy,confusion_matrix,score_report
2021-10-10 14:59:57.091932,2021-10-10 14:59:57.125957,1d,"neg_count, neu_count, pos_count + end_price, trend",1,5,211,180,31,0.4193548387096774,"[[5 4 1]
 [4 5 0]
 [2 7 3]]","{'neg': {'precision': 0.45454545454545453, 'recall': 0.5, 'f1-score': 0.47619047619047616, 'support': 10}, 'neu': {'precision': 0.3125, 'recall': 0.5555555555555556, 'f1-score': 0.39999999999999997, 'support': 9}, 'pos': {'precision': 0.75, 'recall': 0.25, 'f1-score': 0.375, 'support': 12}, 'accuracy': 0.41935483870967744, 'macro avg': {'precision': 0.5056818181818182, 'recall': 0.4351851851851852, 'f1-score': 0.4170634920634921, 'support': 31}, 'weighted avg': {'precision': 0.5276759530791789, 'recall': 0.41935483870967744, 'f1-score': 0.414900153609831, 'support': 31}}"
2021-10-10 14:59:57.166933,2021-10-10 14:59:57.207940,12h,"neg_count, neu_count, pos_count + end_price, trend",1,5,423,362,61,0.4098360655737705,"[[ 3 10  5]
 [ 3 16  3]
 [ 3 12  6]]","{'neg': {'precision': 0.3333333333333333, 'recall': 0.16666666666666666, 'f1-score': 0.2222222222222222, 'support': 18}, 'neu': {'precision': 0.42105263157894735, 'recall': 0.7272727272727273, 'f1-score': 0.5333333333333333, 'support': 22}, 'pos': {'precision': 0.42857142857142855, 'recall': 0.2857142857142857, 'f1-score': 0.34285714285714286, 'support': 21}, 'accuracy': 0.4098360655737705, 'macro avg': {'precision': 0.3943191311612364, 'recall': 0.3932178932178932, 'f1-score': 0.36613756613756615, 'support': 61}, 'weighted avg': {'precision': 0.39775668679896464, 'recall': 0.4098360655737705, 'f1-score': 0.37595628415300547, 'support': 61}}"
2021-10-10 14:59:57.233712,2021-10-10 14:59:57.433512,4h,"neg_count, neu_count, pos_count + end_price, trend",1,5,1271,1089,182,0.4340659340659341,"[[13 32  7]
 [ 8 49 18]
 [ 4 34 17]]","{'neg': {'precision': 0.52, 'recall': 0.25, 'f1-score': 0.33766233766233766, 'support': 52}, 'neu': {'precision': 0.4260869565217391, 'recall': 0.6533333333333333, 'f1-score': 0.5157894736842105, 'support': 75}, 'pos': {'precision': 0.40476190476190477, 'recall': 0.3090909090909091, 'f1-score': 0.3505154639175258, 'support': 55}, 'accuracy': 0.4340659340659341, 'macro avg': {'precision': 0.4502829537612147, 'recall': 0.40414141414141413, 'f1-score': 0.4013224250880247, 'support': 182}, 'weighted avg': {'precision': 0.44647487088480875, 'recall': 0.4340659340659341, 'f1-score': 0.41495056373747946, 'support': 182}}"
2021-10-10 14:59:57.468056,2021-10-10 15:00:00.134834,1h,"neg_count, neu_count, pos_count + end_price, trend",1,5,5080,4354,726,0.3829201101928374,"[[ 53 125  33]
 [ 54 173  25]
 [ 80 131  52]]","{'neg': {'precision': 0.28342245989304815, 'recall': 0.25118483412322273, 'f1-score': 0.2663316582914573, 'support': 211}, 'neu': {'precision': 0.40326340326340326, 'recall': 0.6865079365079365, 'f1-score': 0.5080763582966227, 'support': 252}, 'pos': {'precision': 0.4727272727272727, 'recall': 0.19771863117870722, 'f1-score': 0.27882037533512066, 'support': 263}, 'accuracy': 0.38292011019283745, 'macro avg': {'precision': 0.3864710452945747, 'recall': 0.3784704672699555, 'f1-score': 0.35107613064106685, 'support': 726}, 'weighted avg': {'precision': 0.3935975060428148, 'recall': 0.38292011019283745, 'f1-score': 0.35476719132697404, 'support': 726}}"
2021-10-10 15:00:00.181892,2021-10-10 15:00:10.297370,30m,"neg_count, neu_count, pos_count + end_price, trend",1,5,10157,8706,1451,0.388697450034459,"[[100 155 181]
 [ 98 254 184]
 [ 95 174 210]]","{'neg': {'precision': 0.3412969283276451, 'recall': 0.22935779816513763, 'f1-score': 0.27434842249657065, 'support': 436}, 'neu': {'precision': 0.43567753001715265, 'recall': 0.47388059701492535, 'f1-score': 0.453976764968722, 'support': 536}, 'pos': {'precision': 0.3652173913043478, 'recall': 0.4384133611691023, 'f1-score': 0.3984819734345351, 'support': 479}, 'accuracy': 0.388697450034459, 'macro avg': {'precision': 0.38073061654971524, 'recall': 0.38055058544972176, 'f1-score': 0.37560238696660925, 'support': 1451}, 'weighted avg': {'precision': 0.384057716936478, 'recall': 0.388697450034459, 'f1-score': 0.3816818218517451, 'support': 1451}}"
2021-10-10 15:00:10.345370,2021-10-10 15:00:47.086284,15m,"neg_count, neu_count, pos_count + end_price, trend",1,5,20312,17410,2902,0.3914541695382494,"[[249 412 272]
 [235 599 214]
 [255 378 288]]","{'neg': {'precision': 0.33694181326116374, 'recall': 0.26688102893890675, 'f1-score': 0.29784688995215314, 'support': 933}, 'neu': {'precision': 0.4312455003599712, 'recall': 0.5715648854961832, 'f1-score': 0.4915880180549857, 'support': 1048}, 'pos': {'precision': 0.37209302325581395, 'recall': 0.3127035830618892, 'f1-score': 0.3398230088495575, 'support': 921}, 'accuracy': 0.39145416953824946, 'macro avg': {'precision': 0.3800934456256497, 'recall': 0.3837164991656597, 'f1-score': 0.37641930561889875, 'support': 2902}, 'weighted avg': {'precision': 0.38215357359356317, 'recall': 0.39145416953824946, 'f1-score': 0.3811345218461152, 'support': 2902}}"
2021-10-10 15:00:47.133172,2021-10-10 15:06:03.756349,5m,"neg_count, neu_count, pos_count + end_price, trend",1,5,60936,52230,8706,0.3498736503560762,"[[ 926 1101  719]
 [ 979 1322  793]
 [ 982 1086  798]]","{'neg': {'precision': 0.3207481815032906, 'recall': 0.3372177713037145, 'f1-score': 0.3287768507012249, 'support': 2746}, 'neu': {'precision': 0.3767455115417498, 'recall': 0.42727860374919197, 'f1-score': 0.4004240496743904, 'support': 3094}, 'pos': {'precision': 0.34545454545454546, 'recall': 0.2784368457780879, 'f1-score': 0.3083462132921175, 'support': 2866}, 'accuracy': 0.34987365035607626, 'macro avg': {'precision': 0.3476494128331953, 'recall': 0.34764440694366483, 'f1-score': 0.34584903788924426, 'support': 8706}, 'weighted avg': {'precision': 0.3487822015151547, 'recall': 0.34987365035607626, 'f1-score': 0.34751361004058534, 'support': 8706}}"
2021-10-10 15:06:03.818882,2021-10-10 15:06:03.850131,1d,"neg_count, neu_count, pos_count + end_price, trend",2,10,210,180,30,0.5666666666666667,"[[6 1 1]
 [3 5 2]
 [2 4 6]]","{'neg': {'precision': 0.5454545454545454, 'recall': 0.75, 'f1-score': 0.631578947368421, 'support': 8}, 'neu': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 10}, 'pos': {'precision': 0.6666666666666666, 'recall': 0.5, 'f1-score': 0.5714285714285715, 'support': 12}, 'accuracy': 0.5666666666666667, 'macro avg': {'precision': 0.5707070707070706, 'recall': 0.5833333333333334, 'f1-score': 0.5676691729323308, 'support': 30}, 'weighted avg': {'precision': 0.5787878787878787, 'recall': 0.5666666666666667, 'f1-score': 0.5636591478696741, 'support': 30}}"
2021-10-10 15:06:03.881384,2021-10-10 15:06:03.936859,12h,"neg_count, neu_count, pos_count + end_price, trend",2,10,422,361,61,0.4262295081967213,"[[ 7 13  2]
 [ 4 13  4]
 [ 1 11  6]]","{'neg': {'precision': 0.5833333333333334, 'recall': 0.3181818181818182, 'f1-score': 0.4117647058823529, 'support': 22}, 'neu': {'precision': 0.35135135135135137, 'recall': 0.6190476190476191, 'f1-score': 0.4482758620689656, 'support': 21}, 'pos': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 18}, 'accuracy': 0.4262295081967213, 'macro avg': {'precision': 0.47822822822822825, 'recall': 0.42352092352092346, 'f1-score': 0.4200135226504395, 'support': 61}, 'weighted avg': {'precision': 0.4788805198641265, 'recall': 0.4262295081967213, 'f1-score': 0.420862567751804, 'support': 61}}"
2021-10-10 15:06:03.980892,2021-10-10 15:06:04.150495,4h,"neg_count, neu_count, pos_count + end_price, trend",2,10,1270,1088,182,0.6153846153846154,"[[29 21  7]
 [12 44 18]
 [ 1 11 39]]","{'neg': {'precision': 0.6904761904761905, 'recall': 0.5087719298245614, 'f1-score': 0.5858585858585859, 'support': 57}, 'neu': {'precision': 0.5789473684210527, 'recall': 0.5945945945945946, 'f1-score': 0.5866666666666667, 'support': 74}, 'pos': {'precision': 0.609375, 'recall': 0.7647058823529411, 'f1-score': 0.6782608695652174, 'support': 51}, 'accuracy': 0.6153846153846154, 'macro avg': {'precision': 0.626266186299081, 'recall': 0.6226908022573657, 'f1-score': 0.61692870736349, 'support': 182}, 'weighted avg': {'precision': 0.6224031490126415, 'recall': 0.6153846153846154, 'f1-score': 0.6120800938192242, 'support': 182}}"
2021-10-10 15:06:04.190853,2021-10-10 15:06:06.606785,1h,"neg_count, neu_count, pos_count + end_price, trend",2,10,5075,4350,725,0.6662068965517242,"[[188  31   4]
 [ 51  93 117]
 [  1  38 202]]","{'neg': {'precision': 0.7833333333333333, 'recall': 0.8430493273542601, 'f1-score': 0.8120950323974081, 'support': 223}, 'neu': {'precision': 0.5740740740740741, 'recall': 0.3563218390804598, 'f1-score': 0.4397163120567376, 'support': 261}, 'pos': {'precision': 0.6253869969040248, 'recall': 0.8381742738589212, 'f1-score': 0.7163120567375887, 'support': 241}, 'accuracy': 0.6662068965517242, 'macro avg': {'precision': 0.6609314681038106, 'recall': 0.6791818134312138, 'f1-score': 0.6560411337305782, 'support': 725}, 'weighted avg': {'precision': 0.6554964592007402, 'recall': 0.6662068965517242, 'f1-score': 0.6461991108209508, 'support': 725}}"
2021-10-10 15:06:06.651790,2021-10-10 15:06:16.708931,30m,"neg_count, neu_count, pos_count + end_price, trend",2,10,10152,8701,1451,0.6457615437629222,"[[419   1  13]
 [228  44 269]
 [  1   2 474]]","{'neg': {'precision': 0.6466049382716049, 'recall': 0.9676674364896074, 'f1-score': 0.7752081406105458, 'support': 433}, 'neu': {'precision': 0.9361702127659575, 'recall': 0.08133086876155268, 'f1-score': 0.14965986394557823, 'support': 541}, 'pos': {'precision': 0.626984126984127, 'recall': 0.9937106918238994, 'f1-score': 0.7688564476885645, 'support': 477}, 'accuracy': 0.6457615437629222, 'macro avg': {'precision': 0.7365864260072298, 'recall': 0.6809029990250197, 'f1-score': 0.5645748174148961, 'support': 1451}, 'weighted avg': {'precision': 0.7481181612332299, 'recall': 0.6457615437629222, 'f1-score': 0.5398867242083869, 'support': 1451}}"
2021-10-10 15:06:16.740192,2021-10-10 15:06:54.652410,15m,"neg_count, neu_count, pos_count + end_price, trend",2,10,20307,17406,2901,0.6870044812133747,"[[927   5   2]
 [406 143 471]
 [ 19   5 923]]","{'neg': {'precision': 0.6856508875739645, 'recall': 0.9925053533190579, 'f1-score': 0.8110236220472441, 'support': 934}, 'neu': {'precision': 0.934640522875817, 'recall': 0.14019607843137255, 'f1-score': 0.24381926683716965, 'support': 1020}, 'pos': {'precision': 0.6611747851002865, 'recall': 0.9746568109820486, 'f1-score': 0.7878787878787878, 'support': 947}, 'accuracy': 0.6870044812133747, 'macro avg': {'precision': 0.7604887318500227, 'recall': 0.702452747577493, 'f1-score': 0.6142405589210672, 'support': 2901}, 'weighted avg': {'precision': 0.7652064060039254, 'recall': 0.6870044812133747, 'f1-score': 0.6040375481858845, 'support': 2901}}"
2021-10-10 15:06:54.699286,2021-10-10 15:12:47.530300,5m,"neg_count, neu_count, pos_count + end_price, trend",2,10,60931,52226,8705,0.6822515795519816,"[[2722   91    3]
 [1294  497 1263]
 [  21   94 2720]]","{'neg': {'precision': 0.6742630666336389, 'recall': 0.9666193181818182, 'f1-score': 0.7943966146213337, 'support': 2816}, 'neu': {'precision': 0.7287390029325513, 'recall': 0.1627373935821873, 'f1-score': 0.26605995717344755, 'support': 3054}, 'pos': {'precision': 0.6823883592574009, 'recall': 0.9594356261022927, 'f1-score': 0.7975370180325466, 'support': 2835}, 'accuracy': 0.6822515795519816, 'macro avg': {'precision': 0.695130142941197, 'recall': 0.6962641126220994, 'f1-score': 0.6193311966091093, 'support': 8705}, 'weighted avg': {'precision': 0.6960212187353326, 'recall': 0.6822515795519816, 'f1-score': 0.610061507421442, 'support': 8705}}"
2021-10-10 15:12:47.592806,2021-10-10 15:12:47.624051,1d,"neg_count, neu_count, pos_count + end_price, trend",3,15,209,179,30,0.4,"[[3 2 3]
 [1 4 5]
 [1 6 5]]","{'neg': {'precision': 0.6, 'recall': 0.375, 'f1-score': 0.4615384615384615, 'support': 8}, 'neu': {'precision': 0.3333333333333333, 'recall': 0.4, 'f1-score': 0.3636363636363636, 'support': 10}, 'pos': {'precision': 0.38461538461538464, 'recall': 0.4166666666666667, 'f1-score': 0.4, 'support': 12}, 'accuracy': 0.4, 'macro avg': {'precision': 0.4393162393162393, 'recall': 0.3972222222222222, 'f1-score': 0.4083916083916084, 'support': 30}, 'weighted avg': {'precision': 0.424957264957265, 'recall': 0.4, 'f1-score': 0.4042890442890443, 'support': 30}}"
2021-10-10 15:12:47.670931,2021-10-10 15:12:47.702176,12h,"neg_count, neu_count, pos_count + end_price, trend",3,15,421,360,61,0.3934426229508196,"[[ 7  9  4]
 [ 4 10  8]
 [ 5  7  7]]","{'neg': {'precision': 0.4375, 'recall': 0.35, 'f1-score': 0.38888888888888884, 'support': 20}, 'neu': {'precision': 0.38461538461538464, 'recall': 0.45454545454545453, 'f1-score': 0.41666666666666663, 'support': 22}, 'pos': {'precision': 0.3684210526315789, 'recall': 0.3684210526315789, 'f1-score': 0.3684210526315789, 'support': 19}, 'accuracy': 0.39344262295081966, 'macro avg': {'precision': 0.3968454790823212, 'recall': 0.39098883572567783, 'f1-score': 0.39132553606237813, 'support': 61}, 'weighted avg': {'precision': 0.3969104665825977, 'recall': 0.39344262295081966, 'f1-score': 0.3925318761384335, 'support': 61}}"
